/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/core
/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/core
Successfully load weights from /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/core/checkpoint-expert.pkl!
Generated 1000/30000 steps from the expert. Average episode reward: 149.958, success rate: 0.000
Generated 2000/30000 steps from the expert. Average episode reward: 148.937, success rate: 0.000
Generated 3000/30000 steps from the expert. Average episode reward: 139.848, success rate: 0.000
Generated 4000/30000 steps from the expert. Average episode reward: 144.741, success rate: 0.008
Generated 5000/30000 steps from the expert. Average episode reward: 150.139, success rate: 0.019
Generated 6000/30000 steps from the expert. Average episode reward: 148.352, success rate: 0.021
Generated 30000 steps from the expert. Average episode reward: 148.352, success rate: 0.021
Start training!
===== gail Training Iteration 0 =====:
  adv_mean: null
  discriminator_loss: 0.8127010632783939
  entropy: 2.7050085562926074
  episode_reward: 10.384217117896524
  frame_per_second: 26
  gail_reward: 0.04489996365438669
  grad_norm: 2.6112074796970073
  iteration: 0
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.0030779866071848
  ratio: 1.003235833767133
  success_rate: 0.0
  total_episodes: 6
  total_loss: -1.0030779908864926
  total_steps: 10000
  total_time: 371.22488141059875

Trainer is saved at </home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail/checkpoint-iter0.pkl>. Progress is saved at </home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail/progress.csv>.
===== gail Training Iteration 1 =====:
  adv_mean: null
  discriminator_loss: 0.1920763499652728
  entropy: 2.660669759603647
  episode_reward: 10.428484786164162
  frame_per_second: 4
  gail_reward: 0.04748899574176623
  grad_norm: 2.0286558661705407
  iteration: 1
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -0.9998814269518241
  ratio: 0.9999981955075875
  success_rate: 0.0
  total_episodes: 19
  total_loss: -0.999881426187662
  total_steps: 20000
  total_time: 4955.008863449097

===== gail Training Iteration 2 =====:
  adv_mean: null
  discriminator_loss: 0.11800351032079795
  entropy: 2.550235000634805
  episode_reward: 9.112817001652386
  frame_per_second: 6
  gail_reward: 0.03479986343628321
  grad_norm: 2.3927739663001817
  iteration: 2
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.0029035708843133
  ratio: 1.0030086557070415
  success_rate: 0.0
  total_episodes: 34
  total_loss: -1.002903576539113
  total_steps: 30000
  total_time: 4979.869943618774

===== gail Training Iteration 3 =====:
  adv_mean: null
  discriminator_loss: 0.09426838768980442
  entropy: 2.454171653282948
  episode_reward: 9.102303988235418
  frame_per_second: 7
  gail_reward: 0.028599414031188458
  grad_norm: 2.603533000823779
  iteration: 3
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.002601119188162
  ratio: 1.0027707199255624
  success_rate: 0.0
  total_episodes: 45
  total_loss: -1.0026011253014588
  total_steps: 40000
  total_time: 5003.327412843704

===== gail Training Iteration 4 =====:
  adv_mean: null
  discriminator_loss: 0.08743528028329213
  entropy: 2.3470535174394267
  episode_reward: 9.318205104487623
  frame_per_second: 9
  gail_reward: 0.022693655771227218
  grad_norm: 1.3502753927157476
  iteration: 4
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.0034813026587168
  ratio: 1.003756746267661
  success_rate: 0.0
  total_episodes: 58
  total_loss: -1.0034813054097005
  total_steps: 50000
  total_time: 5028.015129327774

===== gail Training Iteration 5 =====:
  adv_mean: null
  discriminator_loss: 0.07847127716701764
  entropy: 2.2476051342793
  episode_reward: 9.700784319483208
  frame_per_second: 11
  gail_reward: 0.02312089879400073
  grad_norm: 1.696489425194569
  iteration: 5
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.001092863541383
  ratio: 1.001321603396
  success_rate: 0.0
  total_episodes: 68
  total_loss: -1.0010928690433503
  total_steps: 60000
  total_time: 5053.288729429245

===== gail Training Iteration 6 =====:
  adv_mean: null
  discriminator_loss: 0.07207113678734271
  entropy: 2.118683141928453
  episode_reward: 10.045038255147688
  frame_per_second: 13
  gail_reward: 0.027910380036785053
  grad_norm: 2.7630441720669086
  iteration: 6
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -0.9998472056327722
  ratio: 1.0004625806441674
  success_rate: 0.0
  total_episodes: 80
  total_loss: -0.9998472071610964
  total_steps: 70000
  total_time: 5079.394036769867

===== gail Training Iteration 7 =====:
  adv_mean: null
  discriminator_loss: 0.07141301434200543
  entropy: 2.0443639895854853
  episode_reward: 9.715505910226808
  frame_per_second: 15
  gail_reward: 0.02100329534747662
  grad_norm: 2.310289713052603
  iteration: 7
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.0017446068617013
  ratio: 1.0019041302876595
  success_rate: 0.0
  total_episodes: 94
  total_loss: -1.0017446181713006
  total_steps: 80000
  total_time: 5103.831898212433

===== gail Training Iteration 8 =====:
  adv_mean: null
  discriminator_loss: 0.07125727116870574
  entropy: 1.9108217447231977
  episode_reward: 8.90358124410714
  frame_per_second: 17
  gail_reward: 0.018567089528705064
  grad_norm: 1.754375462883558
  iteration: 8
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.001727183201374
  ratio: 1.001977511552664
  success_rate: 0.0
  total_episodes: 111
  total_loss: -1.0017271931354816
  total_steps: 90000
  total_time: 5129.98841881752

===== gail Training Iteration 9 =====:
  adv_mean: null
  discriminator_loss: 0.0681722085397595
  entropy: 1.853648034425882
  episode_reward: 8.1196205124222
  frame_per_second: 19
  gail_reward: 0.02428114148429953
  grad_norm: 3.0282182027132083
  iteration: 9
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -0.998441450870954
  ratio: 0.998793434485411
  success_rate: 0.0
  total_episodes: 131
  total_loss: -0.9984414546917646
  total_steps: 100000
  total_time: 5155.3720808029175

===== gail Training Iteration 10 =====:
  adv_mean: null
  discriminator_loss: 0.06396860911104923
  entropy: 1.8654968038583413
  episode_reward: 7.453769738289618
  frame_per_second: 21
  gail_reward: 0.015218620028537818
  grad_norm: 2.7436120027150865
  iteration: 10
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -0.9999727281240317
  ratio: 1.0001747808395287
  success_rate: 0.0
  total_episodes: 148
  total_loss: -0.999972725373048
  total_steps: 110000
  total_time: 5179.064585208893

Trainer is saved at </home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail/checkpoint-iter10.pkl>. Progress is saved at </home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail/progress.csv>.
===== gail Training Iteration 11 =====:
  adv_mean: null
  discriminator_loss: 0.06590729957112135
  entropy: 1.7983428184802717
  episode_reward: 5.958783040030749
  frame_per_second: 23
  gail_reward: 0.019576206953766256
  grad_norm: 2.873152943757864
  iteration: 11
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.001224597906455
  ratio: 1.0013837774594625
  success_rate: 0.0
  total_episodes: 171
  total_loss: -1.001224593627147
  total_steps: 120000
  total_time: 5202.677083492279

===== gail Training Iteration 12 =====:
  adv_mean: null
  discriminator_loss: 0.059498893388379846
  entropy: 1.6504861183655568
  episode_reward: 4.5706822091690045
  frame_per_second: 24
  gail_reward: 0.00485666115851834
  grad_norm: 4.4181316106747355
  iteration: 12
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.0010197055645478
  ratio: 1.0012689373432062
  success_rate: 0.0
  total_episodes: 193
  total_loss: -1.0010197080098666
  total_steps: 130000
  total_time: 5227.244941234589

===== gail Training Iteration 13 =====:
  adv_mean: null
  discriminator_loss: 0.05624339229021317
  entropy: 1.5104019470703907
  episode_reward: 3.6483451502706163
  frame_per_second: 26
  gail_reward: 0.009184261915297845
  grad_norm: 2.6390371368481564
  iteration: 13
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -1.0010346962855412
  ratio: 1.0012505166041545
  success_rate: 0.0
  total_episodes: 215
  total_loss: -1.0010347011761787
  total_steps: 140000
  total_time: 5252.271525144577

===== gail Training Iteration 14 =====:
  adv_mean: null
  discriminator_loss: 0.05434252723860435
  entropy: 1.4700877727606358
  episode_reward: 3.7514139582426327
  frame_per_second: 28
  gail_reward: 0.036252156750131874
  grad_norm: 3.605512170913892
  iteration: 14
  log_dir: /home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail
  policy_loss: -0.999355134444359
  ratio: 0.9995208099866525
